stdno,schoolyear,term,course,section,units,grade,courserank,contrib
2011-97450,2015,FIRST,SPCM 1(AH),F-6R,3,,4,1.0000,
2011-97450,2015,FIRST,CERP 140,Y,3,,5,1.0000,
2011-23975,2015,FIRST,VPTH 121,CD-3L,4,,1,1.0000,
2011-23975,2015,FIRST,VMCB 121,E-3L,4,,2,1.0000,
2011-23975,2015,FIRST,VPAR 131,Y-3L+,4,,3,1.0000,
2012-35005,2015,FIRST,ENSC 11,Y,3,,2,1.0000,
2012-35005,2015,FIRST,STAT 101,B-4L,3,,3,1.0000,
2012-35005,2015,FIRST,PHYS 82,DV-3L,5,,4,1.0000,
2012-35005,2015,FIRST,IE 164,C,3,,5,1.0000,
2012-69923,2015,FIRST,BIO 1,C-1L,3,,1,1.0000,
2012-39392,2015,FIRST,NSTP 1,DC-GH,0,,2,1.0000,
2012-39392,2015,FIRST,PHYS 13,U-5L,3,,3,1.0000,
2012-39392,2015,FIRST,ENSC 11,Y,3,,4,1.0000,
2012-39392,2015,FIRST,NASC 5(MST),W-3R,3,,5,1.0000,
2012-39392,2015,FIRST,STAT 1,S-9L,3,,6,1.0000,
2012-39392,2015,FIRST,ENSC 10b,3L,2,,7,1.0000,
2011-08757,2015,FIRST,ENSC 12,F,3,,2,1.0000,
2011-08757,2015,FIRST,ENSC 21,T,3,,3,1.0000,
2011-08757,2015,FIRST,CHEM 160,X,3,,4,1.0000,
2011-08757,2015,FIRST,EE 1,GH-2L,3,,5,1.0000,
2011-08757,2015,FIRST,PI 10(SSP),A-6R,3,,6,1.0000,
2012-18669,2015,FIRST,NSTP 1,EM2,0,,1,1.0000,
2012-18669,2015,FIRST,CMSC 124,T-3L,3,,2,1.0000,
2012-18669,2015,FIRST,CMSC 127,ST-3L,3,,3,1.0000,
2012-18669,2015,FIRST,SPCM 1(AH),U1-5R,3,,4,1.0000,
2012-18669,2015,FIRST,MATH 27,W-3R,3,,5,1.0000,
2012-18669,2015,FIRST,STAT 1,H-5L,3,,6,1.0000,
2013-01349,2015,FIRST,NSTP 1,HE-EF2,0,,1,1.0000,
2013-01349,2015,FIRST,PHYS 81,GY-6L,5,,2,1.0000,
2013-01349,2015,FIRST,CHEM 15.0,S,3,,3,1.0000,
2013-01349,2015,FIRST,CMSC 11,T-6L,3,,4,1.0000,
2013-01349,2015,FIRST,ENSC 10b,7L,2,,5,1.0000,
2012-16944,2015,FIRST,ENSC 12,U,3,,2,1.0000,
2012-16944,2015,FIRST,ENSC 13,F,3,,3,1.0000,
2012-16944,2015,FIRST,ENSC 14,G,3,,4,1.0000,
2012-16944,2015,FIRST,ENSC 21,V,3,,5,1.0000,
2012-16944,2015,FIRST,IT 1(MST),V-3L,3,,6,1.0000,
2014-98835,2015,FIRST,NSTP 1,AS2,0,,1,1.0000,
2014-98835,2015,FIRST,FRM 62,G-1L,4,,2,1.0000,
2014-98835,2015,FIRST,FBS 9,Y-1L,3,,3,1.0000,
2014-98835,2015,FIRST,FBS 21,A-2L,4,,4,1.0000,
2014-98835,2015,FIRST,SFI 10,T-1L,3,,6,1.0000,
2009-60988,2015,FIRST,VPHM 141,F-2L,4,,1,1.0000,
2009-60988,2015,FIRST,CHEM 160.1,2L,2,,2,1.0000,
2009-60988,2015,FIRST,VETA 101,GH-3L,5,,3,1.0000,
2009-60988,2015,FIRST,VPHY 143,A-4L,4,,4,1.0000,
2009-00725,2015,FIRST,CMSC 137,CD-1L,3,,2,1.0000,
2009-00725,2015,FIRST,MATH 28,T-4R,3,,3,1.0000,
2009-00725,2015,FIRST,CMSC 142,C-3L,3,,4,1.0000,
2009-00725,2015,FIRST,MGT 131,F,3,,5,1.0000,
2011-63047,2015,FIRST,ABE 180,Y,3,,1,1.0000,
2011-63047,2015,FIRST,CE 121,AB1-1C,3,,2,1.0000,
2011-63047,2015,FIRST,CE 133,CD-2C,3,,3,1.0000,
2011-63047,2015,FIRST,CE 151,V,3,,4,1.0000,
2011-63047,2015,FIRST,EE 1,YZ-5L,3,,5,1.0000,
2013-40497,2015,FIRST,NSTP 1,AS1,0,,1,1.0000,
2013-40497,2015,FIRST,PHYS 81,ABST-2L,5,,3,1.0000,
2013-40497,2015,FIRST,MATH 38,T-3R,3,,4,1.0000,
2013-40497,2015,FIRST,HUM 1(AH),E,3,,5,1.0000,
2013-40497,2015,FIRST,PI 10(SSP),V-6R,3,,6,1.0000,
2008-01488,2015,FIRST,MATH 37,C-5R,5,,1,1.0000,
2012-04619,2015,FIRST,NSTP 1,FR-EF,0,,1,1.0000,
2012-04619,2015,FIRST,ENSC 12,X,3,,2,1.0000,
2012-04619,2015,FIRST,ENSC 26,C-2L,3,,3,1.0000,
2012-04619,2015,FIRST,HUM 3(AH),W,3,,4,1.0000,
2012-04619,2015,FIRST,EE 170,D,3,,5,1.0000,
2012-04619,2015,FIRST,NASC 6(MST),C,3,,6,1.0000,
2012-03169,2015,FIRST,ENTR 1(SSP),B-2R,3,,1,1.0000,
2012-03169,2015,FIRST,POSC 1(SSP),W-3R,3,,2,1.0000,
2012-03169,2015,FIRST,EE 12,V-1L,4,,3,1.0000,
2012-03169,2015,FIRST,EE 18,Y,3,,4,1.0000,
2010-56833,2015,FIRST,ENG 2(AH),Y-4R,3,,2,1.0000,
2010-56833,2015,FIRST,ENSC 10b,3L,2,,3,1.0000,
2010-56833,2015,FIRST,ECON 10(SSP),T,3,,4,1.0000,
2010-56833,2015,FIRST,ENSC 21,C,3,,5,1.0000,
2010-56833,2015,FIRST,EE 12,V-2L,4,,6,1.0000,
2012-07445,2015,FIRST,NSTP 1,AS1,0,,1,1.0000,
2012-07445,2015,FIRST,IE 21,X,3,,2,1.0000,
2012-07445,2015,FIRST,ENSC 14a,YG-1C,5,,3,1.0000,
2012-07445,2015,FIRST,ENG 2(AH),Y-4R,3,,4,1.0000,
2012-07445,2015,FIRST,STAT 101,B-6L,3,,5,1.0000,
2012-37404,2015,FIRST,SPCM 1(AH),W-6R,3,,1,1.0000,
2012-37404,2015,FIRST,CHEM 15.0,T,3,,2,1.0000,
2012-37404,2015,FIRST,ENG 2(AH),U-2R,3,,3,1.0000,
2012-37404,2015,FIRST,MATH 14,S-3R,3,,4,1.0000,
2012-37404,2015,FIRST,STAT 1,Z-6L,3,,5,1.0000,
2013-08246,2015,FIRST,CHEM 15.0,H,3,,1,1.0000,
2013-08246,2015,FIRST,HUME 10(SSP),U-3R,3,,2,1.0000,
2013-08246,2015,FIRST,SPAN I,V,3,,3,1.0000,
2010-58550,2015,FIRST,NASC 5(MST),CD-2R,3,,3,1.0000,
2010-58550,2015,FIRST,AEC 1,T-2R,3,,4,1.0000,
2010-58550,2015,FIRST,SOSC 1(SSP),S-5R,3,,5,1.0000,
2010-39222,2015,FIRST,ENSC 12,U,3,,1,1.0000,
2010-39222,2015,FIRST,ENSC 14a,ZH,5,,2,1.0000,
2010-39222,2015,FIRST,PHYS 83,BT-2L,5,,3,1.0000,
2013-47758,2015,FIRST,NSTP 1,AS3,0,,2,1.0000,
2013-47758,2015,FIRST,FPPS 11,ST1-1L,3,,3,1.0000,
2013-47758,2015,FIRST,ENG 1(AH),E-1R,3,,4,1.0000,
2013-47758,2015,FIRST,MATH 14,B-5R,3,,5,1.0000,
2013-47758,2015,FIRST,FBS 21,A-5L,4,,6,1.0000,
2009-29173,2015,FIRST,MATH 165,T,3,,1,1.0000,
2009-29173,2015,FIRST,MATH 181,V,3,,5,1.0000,
2009-29173,2015,FIRST,ECON 11,C-6R,3,,6,1.0000,
2010-12392,2015,FIRST,ABE 50,A-2L,3,,1,1.0000,
2010-12392,2015,FIRST,ENG 2(AH),F-5R,3,,2,1.0000,
2010-12392,2015,FIRST,MATH 28,T-3R,3,,3,1.0000,
2010-12392,2015,FIRST,HUM 1(AH),V,3,,4,1.0000,
2013-62584,2015,FIRST,NSTP 1,EM2,0,,1,1.0000,
2013-62584,2015,FIRST,HIST 1(SSP),V2-6R,3,,2,1.0000,
2013-62584,2015,FIRST,ENG 2(AH),G-3R,3,,3,1.0000,
2013-62584,2015,FIRST,MATH 14,S-2R,3,,4,1.0000,
2013-62584,2015,FIRST,BIO 150,U-1L,3,,5,1.0000,
2013-62584,2015,FIRST,ZOO 3,ST-3L,3,,6,1.0000,
2011-22635,2015,FIRST,PI 10(SSP),A-6R,3,,1,1.0000,
2011-22635,2015,FIRST,FST 101,ST-2L,3,,2,1.0000,
2011-22635,2015,FIRST,CHEM 160,U,3,,3,1.0000,
2011-22635,2015,FIRST,AGRI 199,Y4,1,,5,1.0000,
2007-55709,2015,FIRST,ABE 70,Y-1L,3,,2,1.0000,
2012-64316,2015,FIRST,ABE 71,T-2L,3,,1,1.0000,
2012-64316,2015,FIRST,ABE 180,Y,3,,2,1.0000,
2012-64316,2015,FIRST,CE 121,AB1-1C,3,,3,1.0000,
2012-64316,2015,FIRST,CE 151,V,3,,4,1.0000,
2012-64316,2015,FIRST,CE 131,U-2C,3,,5,1.0000,
2013-03278,2015,FIRST,NSTP 1,EM1,0,,2,1.0000,
2013-03278,2015,FIRST,FPPS 11,ST1-1L,3,,3,1.0000,
2013-03278,2015,FIRST,PSY 1(SSP),E-5R,3,,4,1.0000,
2013-03278,2015,FIRST,ZOO 1,T-2L,3,,5,1.0000,
2013-03278,2015,FIRST,ENG 1(AH),H-4R,3,,6,1.0000,
2013-03278,2015,FIRST,CHEM 15.0,T,3,,7,1.0000,
2012-51984,2015,FIRST,NSTP 1,FR-EF,0,,1,1.0000,
2012-51984,2015,FIRST,ENSC 13,X,3,,3,1.0000,
2012-51984,2015,FIRST,EE 1,YZ-1L,3,,4,1.0000,
2012-51984,2015,FIRST,ENSC 10b,5L,2,,5,1.0000,
2012-51984,2015,FIRST,ENG 2(AH),G-4R,3,,6,1.0000,
2012-51984,2015,FIRST,SOSC 3(SSP),F-1R,3,,7,1.0000,
2013-18735,2015,FIRST,PE 1,YZ2,0,,1,1.0000,
2013-18735,2015,FIRST,NSTP 1,AS2,0,,2,1.0000,
2013-18735,2015,FIRST,HUM 1(AH),X,3,,3,1.0000,
2013-18735,2015,FIRST,NASC 6(MST),C,3,,4,1.0000,
2013-18735,2015,FIRST,ENG 2(AH),F-5R,3,,5,1.0000,
2013-18735,2015,FIRST,ENTR 1(SSP),ST-5R,3,,6,1.0000,
2013-18735,2015,FIRST,SOSC 1(SSP),C-6R,3,,7,1.0000,
2012-40243,2015,FIRST,ENSC 12,T,3,,2,1.0000,
2012-40243,2015,FIRST,EE 1,YZ-6L,3,,3,1.0000,
2012-40243,2015,FIRST,CHEM 160,X,3,,4,1.0000,
2012-40243,2015,FIRST,SPCM 1(AH),G-3R,3,,5,1.0000,
2012-40243,2015,FIRST,SOSC 3(SSP),V-5R,3,,7,1.0000,
2010-39087,2015,FIRST,APHY 102,H-3L,3,,2,1.0000,
2010-39087,2015,FIRST,MATH 38,T-4R,3,,4,1.0000,
2010-39087,2015,FIRST,CHEM 40.0,C,3,,7,1.0000,
2010-39087,2015,FIRST,CHEM 40.1,28L,1,,8,1.0000,
2010-39087,2015,FIRST,PI 10(SSP),G1-2R,3,,0,0.0000,
2014-98842,2015,FIRST,PE 1,AB2,0,,1,1.0000,
2014-98842,2015,FIRST,NSTP 1,AS1,0,,2,1.0000,
2014-98842,2015,FIRST,SFI 10,T-1L,3,,3,1.0000,
2014-98842,2015,FIRST,SFI 31,G-2L,4,,4,1.0000,
2014-98842,2015,FIRST,FPPS 11,ST1-1L,3,,5,1.0000,
2014-98842,2015,FIRST,FBS 9,Y-4L,3,,6,1.0000,
2013-68171,2015,FIRST,NSTP 1,EN1,0,,1,1.0000,
2013-68171,2015,FIRST,CMSC 131,AB-4L,3,,2,1.0000,
2013-68171,2015,FIRST,CMSC 100,EF-4L,3,,3,1.0000,
2013-68171,2015,FIRST,SPCM 1(AH),Y-6R,3,,4,1.0000,
2013-68171,2015,FIRST,CMSC 57,T-2L,3,,5,1.0000,
2013-68171,2015,FIRST,MATH 27,A-2R,3,,6,1.0000,
2014-98843,2015,FIRST,NSTP 1,AS2,0,,1,1.0000,
2014-98843,2015,FIRST,PE 1,AB1,0,,2,1.0000,
2014-98843,2015,FIRST,FRM 62,G-1L,4,,3,1.0000,
2014-98843,2015,FIRST,FBS 9,Y-1L,3,,4,1.0000,
2014-98843,2015,FIRST,FBS 21,A-6L,4,,5,1.0000,
2014-98843,2015,FIRST,SFI 10,T-2L,3,,7,1.0000,
2010-28453,2015,FIRST,ENG 2(AH),U-5R,3,,2,1.0000,
2010-28453,2015,FIRST,DEVC 199,S2,1,,3,1.0000,
2014-98844,2015,FIRST,NSTP 1,DC-GH,0,,1,1.0000,
2014-98844,2015,FIRST,FRM 62,G-1L,4,,2,1.0000,
2014-98844,2015,FIRST,FBS 9,Y-1L,3,,3,1.0000,
2014-98844,2015,FIRST,FBS 21,A-4L,4,,4,1.0000,
2014-98844,2015,FIRST,SFI 10,B-2L,3,,6,1.0000,
2011-67879,2015,FIRST,CMSC 137,CD-2L,3,,1,1.0000,
2011-67879,2015,FIRST,CMSC 141,D-6L,3,,2,1.0000,
2011-67879,2015,FIRST,MATH 28,T-5R,3,,3,1.0000,
2011-67879,2015,FIRST,CMSC 165,U-3L,3,,4,1.0000,
2011-67879,2015,FIRST,ENG 10,C-2R,3,,5,1.0000,
2008-69108,2015,FIRST,BIO 30,A-6L,3,,1,1.0000,
2008-69108,2015,FIRST,MATH 28,T-4R,3,,2,1.0000,
2008-69108,2015,FIRST,MATH 101,Y-6L,3,,3,1.0000,
2008-69108,2015,FIRST,STAT 1,H-2L,3,,4,1.0000,
2011-09223,2015,FIRST,PE 1,ST1,0,,1,1.0000,
2011-09223,2015,FIRST,NSTP 1,AS2,0,,2,1.0000,
2011-09223,2015,FIRST,MATH 27,W-2R,3,,3,1.0000,
2011-09223,2015,FIRST,STAT 1,V-10L,3,,4,1.0000,
2011-09223,2015,FIRST,NASC 3(MST),UV-1R,3,,5,1.0000,
2011-09223,2015,FIRST,NASC 5(MST),CD-2R,3,,6,1.0000,
2011-09223,2015,FIRST,CMSC 131,C-1L,3,,7,1.0000,
2011-29463,2015,FIRST,NSTP 1,AS1,0,,1,1.0000,
2011-29463,2015,FIRST,EE 21,D-2L,4,,2,1.0000,
2011-29463,2015,FIRST,EE 41,U-1L,4,,3,1.0000,
2011-29463,2015,FIRST,ENSC 14a,ZH-1C,5,,5,1.0000,
2009-03902,2015,FIRST,HIST 1(SSP),V2-6R,3,,1,1.0000,
2008-56180,2015,FIRST,ENG 10,B-5R,3,,2,1.0000,
2008-56180,2015,FIRST,EE 141,V-1L,3,,3,1.0000,
2010-67027,2015,FIRST,HUM 3(AH),W,3,,1,1.0000,
2010-67027,2015,FIRST,SOSC 3(SSP),V-4R,3,,3,1.0000,
2010-67027,2015,FIRST,MCB 101,F-3L,3,,4,1.0000,
2011-00177,2015,FIRST,CMSC 137,CD-2L,3,,1,1.0000,
2011-00177,2015,FIRST,CMSC 150,EF-5L,3,,2,1.0000,
2011-00177,2015,FIRST,PSY 1(SSP),B-6R,3,,3,1.0000,
2011-00177,2015,FIRST,STAT 1,D-6L,3,,4,1.0000,
2011-00177,2015,FIRST,CMSC 131,C-2L,3,,5,1.0000,
2011-51742,2015,FIRST,NSTP 1,AS4,0,,1,1.0000,
2011-51742,2015,FIRST,EE 12,V-1L,4,,2,1.0000,
2011-51742,2015,FIRST,NASC 3(MST),EF-2R,3,,3,1.0000,
2009-57027,2015,FIRST,ENG 2(AH),G-2R,3,,2,1.0000,
2009-57027,2015,FIRST,PHYS 82,DV-3L,5,,3,1.0000,
2009-57027,2015,FIRST,MATH 38,T-2R,3,,4,1.0000,
2009-57027,2015,FIRST,ENSC 10b,8L,2,,5,1.0000,
2011-03724,2015,FIRST,MGT 1,X-2L,3,,1,1.0000,
2011-03724,2015,FIRST,AGRI 195,CD-3L,3,,2,1.0000,
2011-03724,2015,FIRST,ENG 2(AH),G-6R,3,,3,1.0000,
2011-03724,2015,FIRST,FST 101,S-2L,3,,4,1.0000,
2011-03724,2015,FIRST,CHEM 160,S,3,,5,1.0000,
2009-34602,2015,FIRST,CE 135,CD,3,,1,1.0000,
2009-34602,2015,FIRST,CE 133,AB-1C,3,,3,1.0000,
2009-34602,2015,FIRST,CE 134,T-1C,3,,4,1.0000,
2009-34602,2015,FIRST,CE 199,G,1,,5,1.0000,
2009-34602,2015,FIRST,IT 1(MST),V-1L,3,,6,1.0000,
2010-18453,2015,FIRST,SOSC 1(SSP),S-1R,3,,1,1.0000,
2010-18453,2015,FIRST,PSY 1(SSP),X2-4R,3,,2,1.0000,
2010-18453,2015,FIRST,ENG 10,T-3R,3,,3,1.0000,
2010-18453,2015,FIRST,IT 1(MST),V-4L,3,,5,1.0000,
2012-17378,2015,FIRST,NSTP 1,EM2,0,,1,1.0000,
2012-17378,2015,FIRST,ENSC 21,Y,3,,2,1.0000,
2012-17378,2015,FIRST,ENG 2(AH),F-5R,3,,3,1.0000,
2012-17378,2015,FIRST,STAT 1,H-9L,3,,4,1.0000,
2012-17378,2015,FIRST,ENSC 10b,2L,2,,5,1.0000,
2012-17378,2015,FIRST,ENSC 11,V,3,,6,1.0000,
2013-27640,2015,FIRST,NSTP 1,EM1,0,,1,1.0000,
2013-27640,2015,FIRST,STAT 135,W-3R,3,,2,1.0000,
2013-27640,2015,FIRST,STAT 144,CD-2R,3,,3,1.0000,
2013-27640,2015,FIRST,SPCM 1(AH),Y-5R,3,,4,1.0000,
2013-27640,2015,FIRST,STAT 172,AB-3L,3,,5,1.0000,
2013-27640,2015,FIRST,CMSC 22,WX-7L,3,,6,1.0000,
2010-42120,2015,FIRST,AECO 151,ST-1R,3,,1,1.0000,
2010-42120,2015,FIRST,ENG 2(AH),G-2R,3,,2,1.0000,
2010-42120,2015,FIRST,ECON 130,E,3,,3,1.0000,
2010-42120,2015,FIRST,AECO 110,U-1L,3,,4,1.0000,
2010-42120,2015,FIRST,AECO 123,U-2R,3,,5,1.0000,
2009-17589,2015,FIRST,CMSC 21,ST-2L,3,,2,1.0000,
2009-17589,2015,FIRST,MGT 1,X-2L,3,,3,1.0000,
2009-17589,2015,FIRST,DEVC 199,A2,1,,5,1.0000,
2009-17589,2015,FIRST,CMSC 22,WX-6L,3,,6,1.0000,
2008-07276,2015,FIRST,SOC 130,T,3,,2,1.0000,
2011-50174,2015,FIRST,NSTP 1,AS2,0,,1,1.0000,
2011-50174,2015,FIRST,CMSC 137,B-3L,3,,2,1.0000,
2011-50174,2015,FIRST,SOSC 4(SSP),C-5R,3,,3,1.0000,
2011-50174,2015,FIRST,SOSC 3(SSP),Y-1R,3,,4,1.0000,
2011-50174,2015,FIRST,ENG 10,T-5R,3,,5,1.0000,
2011-50174,2015,FIRST,CMSC 165,U-3L,3,,6,1.0000,
2010-64792,2015,FIRST,VETA 101,GH-3L,5,,1,1.0000,
2010-64792,2015,FIRST,STAT 1,S-3L,3,,2,1.0000,
2010-64792,2015,FIRST,CHEM 160,V,3,,3,1.0000,
2010-64792,2015,FIRST,VPTH 121,CD-2L,4,,4,1.0000,
2013-19492,2015,FIRST,NSTP 1,HE-EF1,0,,1,1.0000,
2013-19492,2015,FIRST,FBS 31,AB-4L,3,,2,1.0000,
2013-19492,2015,FIRST,SFI 100,U-1L,3,,3,1.0000,
2013-19492,2015,FIRST,ECON 11,C-2R,3,,4,1.0000,
2013-19492,2015,FIRST,MATH 14,B-5R,3,,5,1.0000,
2013-00602,2015,FIRST,NSTP 1,HE-EF1,0,,1,1.0000,
2013-00602,2015,FIRST,CHEM 15.0,S,3,,3,1.0000,
2013-00602,2015,FIRST,CHEM 15.1,16L,2,,4,1.0000,
2013-00602,2015,FIRST,MATH 14,B-3R,3,,5,1.0000,
2013-00602,2015,FIRST,STAT 1,D-3L,3,,6,1.0000,
2013-00602,2015,FIRST,PSY 1(SSP),C-4R,3,,7,1.0000,
2012-02381,2015,FIRST,MATH 26,W-5R,3,,1,1.0000,
2012-02381,2015,FIRST,PHYS 3,X-6L,3,,2,1.0000,
2012-02381,2015,FIRST,HIST 1(SSP),V2-2R,3,,4,1.0000,
2012-37382,2015,FIRST,NSTP 1,AS2,0,,1,1.0000,
2012-37382,2015,FIRST,ENSC 12,V,3,,2,1.0000,
2012-37382,2015,FIRST,MCB 1,C-4L,3,,3,1.0000,
2012-37382,2015,FIRST,CHEM 32.0,T,3,,4,1.0000,
2012-37382,2015,FIRST,CHEM 32.1,8L,2,,5,1.0000,
2012-37382,2015,FIRST,PHYS 13,U-3L,3,,6,1.0000,
2012-37382,2015,FIRST,CHEM 40.1,21L,1,,7,1.0000,
2012-57141,2015,FIRST,PE 1,YZ2,0,,1,1.0000,
2012-57141,2015,FIRST,IE 143,E,3,,2,1.0000,
2012-57141,2015,FIRST,ENSC 13,F,3,,3,1.0000,
2012-57141,2015,FIRST,IE 142,X,3,,4,1.0000,
2012-57141,2015,FIRST,IE 164,C,3,,5,1.0000,
2012-57141,2015,FIRST,IE 21,X,3,,6,1.0000,
2012-54950,2015,FIRST,EE 11,V-1L,4,,2,1.0000,
2012-54950,2015,FIRST,ENSC 21,U,3,,3,1.0000,
2012-54950,2015,FIRST,ENSC 14a,ZH,5,,4,1.0000,
2012-54950,2015,FIRST,CHEM 15.0,H,3,,5,1.0000,
2008-08949,2015,FIRST,ENSC 13,U,3,,1,1.0000,
2008-08949,2015,FIRST,MATH 38,T-2R,3,,2,1.0000,
2008-08949,2015,FIRST,ENG 10,C-6R,3,,4,1.0000,
2010-41403,2015,FIRST,MATH 181,V,3,,3,1.0000,
2010-41403,2015,FIRST,MATH 20,Z,3,,4,1.0000,
2010-41403,2015,FIRST,ENG 2(AH),G-5R,3,,5,1.0000,
2010-41403,2015,FIRST,SPCM 1(AH),W-6R,3,,6,1.0000,
2010-41403,2015,FIRST,PI 10(SSP),U-6R,3,,0,0.0000,
2012-11766,2015,FIRST,AGRI 195,CD-5L,3,,1,1.0000,
2012-11766,2015,FIRST,SOSC 1(SSP),S-5R,3,,2,1.0000,
2012-11766,2015,FIRST,STAT 162,G-4L,3,,3,1.0000,
2012-11766,2015,FIRST,FST 122,B-2L,3,,4,1.0000,
2012-11766,2015,FIRST,ECON 11,W-1R,3,,5,1.0000,
2011-38287,2015,FIRST,CMSC 131,C-3L,3,,1,1.0000,
2011-38287,2015,FIRST,CMSC 100,EF-2L,3,,2,1.0000,
2011-38287,2015,FIRST,CMSC 57,T-3L,3,,3,1.0000,
2011-38287,2015,FIRST,MATH 28,T-2R,3,,4,1.0000,
2011-38287,2015,FIRST,CMSC 150,EF-6L,3,,5,1.0000,
2012-61785,2015,FIRST,NSTP 1,HE-EF2,0,,1,1.0000,
2012-61785,2015,FIRST,NASC 3(MST),UV-4R,3,,3,1.0000,
2012-61785,2015,FIRST,ECON 104,W,3,,4,1.0000,
2012-61785,2015,FIRST,HUM 2(AH),D-5R,3,,5,1.0000,
2012-61785,2015,FIRST,PI 10(SSP),G1-1R,3,,7,1.0000,
2012-61785,2015,FIRST,POSC 1(SSP),T-2R,3,,8,1.0000,
2013-47413,2015,FIRST,ENSC 21,U,3,,1,1.0000,
2013-47413,2015,FIRST,ENSC 26,C-2L,3,,2,1.0000,
