stdno,schoolyear,term,course,section,units,grade,courserank,contrib
2210-10379,2015,FIRST,MCB 1,C-4L,3,____,4,1.0000,
7167-38654,2015,FIRST,EE 141,V-2L,3,____,1,1.0000,
7167-38654,2015,FIRST,ENSC 18,D-2L,3,____,2,1.0000,
9793-56468,2015,FIRST,ECON 130,X,3,____,1,1.0000,
9793-56468,2015,FIRST,AECO 199,Y4,1,____,3,1.0000,
5137-54938,2015,FIRST,ENSC 13,X,3,____,1,1.0000,
5137-54938,2015,FIRST,EE 180,D,3,____,4,1.0000,
5137-54938,2015,FIRST,EE 141,V-2L,3,____,5,1.0000,
0276-71031,2015,FIRST,EE 148,T,3,____,1,1.0000,
0276-71031,2015,FIRST,EE 141,V-2L,3,____,2,1.0000,
4256-63970,2015,FIRST,PE 2-BT,BT-Y,0,____,1,1.0000,
4381-12162,2015,FIRST,CMSC 137,CD-4L,3,____,1,1.0000,
7470-21831,2015,FIRST,DEVC 102,B-1L,3,____,1,1.0000,
7470-21831,2015,FIRST,DEVC 140,AB-1L,3,____,2,1.0000,
0833-40308,2015,FIRST,DEVC 102,B-1L,3,____,2,1.0000,
0833-40308,2015,FIRST,DEVC 198,AR,3,____,3,1.0000,
0833-40308,2015,FIRST,DEVC 140,AB-1L,3,____,4,1.0000,
9670-27207,2015,FIRST,ENG 2(AH),Y-6R,3,____,1,1.0000,
9670-27207,2015,FIRST,AECO 199,Y4,1,____,3,1.0000,
9670-27207,2015,FIRST,NASC 6(MST),D,3,____,4,1.0000,
7001-08710,2015,FIRST,SOC 107,D,3,____,2,1.0000,
0912-69071,2015,FIRST,ENG 10,T-6R,3,____,1,1.0000,
2010-76173,2015,FIRST,ABE 40,S-2L,4,____,1,1.0000,
3315-54444,2015,FIRST,ChE 193,WX-1L,3,____,1,1.0000,
3315-54444,2015,FIRST,ChE 200-3,AR(3),3,____,2,1.0000,
9268-18960,2015,FIRST,CHEM 40.0,X,3,____,1,1.0000,
0290-29259,2015,FIRST,IE 151,ST-2L,3,____,1,1.0000,
1657-59051,2015,FIRST,VMED 200-2,AR(2),2,____,1,1.0000,
5205-13039,2015,FIRST,PE 2-CH,CH-UV2,0,____,1,1.0000,
7904-51731,2015,FIRST,AECO 199,Y4,1,____,1,1.0000,
5254-14701,2015,FIRST,DEVC 199,S4,1,____,3,1.0000,
9808-74162,2015,FIRST,CMSC 137,CD-4L,3,____,2,1.0000,
0027-24065,2015,FIRST,MATH 141,W,3,____,1,1.0000,
0263-11977,2015,FIRST,DEVC 122,G,3,____,1,1.0000,
0263-11977,2015,FIRST,DEVC 199,S4,1,____,2,1.0000,
5176-24304,2015,FIRST,POSC 1(SSP),W-5R,3,____,1,1.0000,
6073-24848,2015,FIRST,EE 141,V-2L,3,____,1,1.0000,
6073-24848,2015,FIRST,EE 126,F-1L,3,____,2,1.0000,
6073-24848,2015,FIRST,EE 171,C,3,____,3,1.0000,
1303-35928,2015,FIRST,CMSC 21,ST-2L,3,____,1,1.0000,
1303-35928,2015,FIRST,CMSC 22,WX-7L,3,____,2,1.0000,
1303-35928,2015,FIRST,STAT 146,UV-3R,3,____,3,1.0000,
4886-34009,2015,FIRST,FPPS 131,AB-1L,3,____,1,1.0000,
4886-34009,2015,FIRST,PPT 170,E,3,____,2,1.0000,
8665-32979,2015,FIRST,AECO 199,Y4,1,____,2,1.0000,
1163-76930,2015,FIRST,CHEM 44.0,B,3,____,1,1.0000,
5029-60261,2015,FIRST,SFI 126,UV-1L,3,____,2,1.0000,
6317-36606,2015,FIRST,PE 2-FSF,FSF-GH,0,____,1,1.0000,
6317-36606,2015,FIRST,ENG 10,T-6R,3,____,2,1.0000,
8011-25431,2015,FIRST,CHEM 15.1,14L,2,____,1,1.0000,
8011-25431,2015,FIRST,AECO 199,Y4,1,____,3,1.0000,
3650-15512,2015,FIRST,ENG 2(AH),F-6R,3,____,1,1.0000,
3650-15512,2015,FIRST,CHEM 32.0,X,3,____,2,1.0000,
3650-15512,2015,FIRST,CHEM 32.1,9L,2,____,3,1.0000,
9969-94676,2015,FIRST,DEVC 199,S4,1,____,1,1.0000,
9397-08676,2015,FIRST,ChE 193,WX-1L,3,____,2,1.0000,
9397-08676,2015,FIRST,ChE 200-3,AR(3),3,____,3,1.0000,
7048-90778,2015,FIRST,BOT 1,ST-4L,3,____,1,1.0000,
7048-90778,2015,FIRST,ZOO 1,WX-8L,3,____,2,1.0000,
7048-90778,2015,FIRST,ANSC 2,T-1L,3,____,3,1.0000,
7048-90778,2015,FIRST,ECON 102,G2,3,____,4,1.0000,
7048-90778,2015,FIRST,ABM 190,E,3,____,5,1.0000,
9490-66437,2015,FIRST,AECO 199,Y4,1,____,2,1.0000,
3308-26360,2015,FIRST,ECON 130,X,3,____,1,1.0000,
3308-26360,2015,FIRST,AECO 199,Y4,1,____,3,1.0000,
6143-63374,2015,FIRST,MATH 26,W-5R,3,____,1,1.0000,
2826-24354,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
6234-38086,2015,FIRST,PE 1,EF2,0,____,1,1.0000,
6234-38086,2015,FIRST,MATH 36,H-5R,5,____,2,1.0000,
6234-38086,2015,FIRST,ENSC 10a,6L,2,____,3,1.0000,
1772-06721,2015,FIRST,AECO 110,B-1L,3,____,1,1.0000,
1772-06721,2015,FIRST,AECO 141,U-2L,3,____,2,1.0000,
1772-06721,2015,FIRST,ECON 199b,G1b,1,____,3,1.0000,
6727-35446,2015,FIRST,PE 2-BT,BT-Y,0,____,1,1.0000,
6559-75382,2015,FIRST,CHEM 15.0,X,3,____,2,1.0000,
9985-80832,2015,FIRST,FOR 1,Y,3,____,1,1.0000,
9985-80832,2015,FIRST,DEVC 199,A1,1,____,2,1.0000,
8083-60326,2015,FIRST,ENG 106,U,3,____,1,1.0000,
8083-60326,2015,FIRST,ENG 5,Y,3,____,2,1.0000,
8083-60326,2015,FIRST,ENG 103,D,3,____,3,1.0000,
1155-74083,2015,FIRST,MATH 14,B-4R,3,____,1,1.0000,
1155-74083,2015,FIRST,ENG 5,Y,3,____,2,1.0000,
4068-88666,2015,FIRST,ChE 193,WX-1L,3,____,1,1.0000,
4068-88666,2015,FIRST,ChE 200-3,AR(3),3,____,2,1.0000,
9258-04507,2015,FIRST,EE 141,V-2L,3,____,2,1.0000,
3475-38748,2015,FIRST,AECO 199,Y4,1,____,2,1.0000,
0293-25742,2015,FIRST,FIL 150,Y,3,____,2,1.0000,
2582-61281,2015,FIRST,MATH 28,T-5R,3,____,1,1.0000,
2582-61281,2015,FIRST,CMSC 137,CD-4L,3,____,3,1.0000,
8866-50046,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
5907-19904,2015,FIRST,HIST 2(SSP),T-1R,3,____,2,1.0000,
5907-19904,2015,FIRST,DEVC 199,S4,1,____,4,1.0000,
9726-64565,2015,FIRST,PE 2-TKD,TKD-Y,0,____,1,1.0000,
9726-64565,2015,FIRST,ECON 130,B,3,____,2,1.0000,
9726-64565,2015,FIRST,ABE 2,T-2L,3,____,3,1.0000,
9726-64565,2015,FIRST,AECO 199,Y4,1,____,5,1.0000,
9726-64565,2015,FIRST,PI 10(SSP),V-1R,3,____,6,1.0000,
9726-64565,2015,FIRST,PSY 1(SSP),U-6R,3,____,7,1.0000,
1796-98420,2015,FIRST,STAT 1,AB-2L,3,____,1,1.0000,
1796-98420,2015,FIRST,DEVC 199,S4,1,____,2,1.0000,
8721-73565,2015,FIRST,AECO 199,Y4,1,____,2,1.0000,
8721-73565,2015,FIRST,ECON 10(SSP),T,3,____,3,1.0000,
6663-85885,2015,FIRST,EE 141,V-2L,3,____,1,1.0000,
4934-83707,2015,FIRST,PE 2-FSW,FSW-T,0,____,1,1.0000,
4589-75734,2015,FIRST,ENG 10,T-6R,3,____,1,1.0000,
0379-76995,2015,FIRST,EE 141,V-2L,3,____,2,1.0000,
6646-20739,2015,FIRST,BOT 1,ST-7L,3,____,1,1.0000,
6646-20739,2015,FIRST,AECO 199,Y4,1,____,2,1.0000,
6631-62344,2015,FIRST,PE 2-WT,WT-UV,0,____,1,1.0000,
6631-62344,2015,FIRST,APHY 105,Y-1L,3,____,4,1.0000,
6631-62344,2015,FIRST,APHY 200-3,AR1(3),3,____,5,1.0000,
6631-62344,2015,FIRST,APHY 130.1,WX-1L,1,____,7,1.0000,
9768-12683,2015,FIRST,ENG 103,D,3,____,1,1.0000,
5328-62998,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
5021-99398,2015,FIRST,EE 141,V-2L,3,____,2,1.0000,
8704-90522,2015,FIRST,ENG 2(AH),F-6R,3,____,1,1.0000,
8704-90522,2015,FIRST,SOSC 3(SSP),Y-3R,3,____,2,1.0000,
8704-90522,2015,FIRST,SOC 130,X,3,____,3,1.0000,
2843-54927,2015,FIRST,ChE 193,WX-1L,3,____,1,1.0000,
2843-54927,2015,FIRST,ChE 200-3,AR(3),3,____,2,1.0000,
9585-89326,2015,FIRST,SPCM 105,V,3,____,2,1.0000,
1650-69425,2015,FIRST,STAT 1,AB-2L,3,____,1,1.0000,
1650-69425,2015,FIRST,CMSC 137,CD-4L,3,____,2,1.0000,
9272-44432,2015,FIRST,PHYS 83,BT-6L,5,____,1,1.0000,
8512-23247,2015,FIRST,PE 2-BW,BW-UV,0,____,1,1.0000,
8512-23247,2015,FIRST,ENSC 16,Y,3,____,2,1.0000,
8512-23247,2015,FIRST,ENSC 13,X,3,____,3,1.0000,
9576-06404,2015,FIRST,BOT 1,ST-4L,3,____,1,1.0000,
9576-06404,2015,FIRST,ZOO 1,WX-8L,3,____,2,1.0000,
3758-38122,2015,FIRST,ENSC 16,Y,3,____,1,1.0000,
5930-41638,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
2217-33764,2015,FIRST,PE 2-BT,BT-Y,0,____,1,1.0000,
3089-30776,2015,FIRST,NASC 5(MST),CD-4R,3,____,1,1.0000,
3089-30776,2015,FIRST,ENG 10,T-6R,3,____,3,1.0000,
3089-30776,2015,FIRST,SPCM 1(AH),Y-6R,3,____,4,1.0000,
4916-85985,2015,FIRST,AECO 199,Y4,1,____,2,1.0000,
3625-86268,2015,FIRST,AECO 103,UV-2L,3,____,1,1.0000,
3625-86268,2015,FIRST,AECO 199,Y4,1,____,2,1.0000,
5008-77510,2015,FIRST,MATH 141,W,3,____,3,1.0000,
5008-77510,2015,FIRST,AMAT 174,V,3,____,4,1.0000,
5008-77510,2015,FIRST,AMAT 176,Y,3,____,5,1.0000,
1703-60758,2015,FIRST,ChE 193,WX-1L,3,____,1,1.0000,
6554-08370,2015,FIRST,ChE 32,UV-2L,3,____,1,1.0000,
0180-64003,2015,FIRST,PE 2-WT,WT-UV,0,____,1,1.0000,
0180-64003,2015,FIRST,CHEM 111.1,8L,2,____,2,1.0000,
0180-64003,2015,FIRST,ENTR 1(SSP),ST-1R,3,____,3,1.0000,
0180-64003,2015,FIRST,ENG 10,C-6R,3,____,5,1.0000,
0180-64003,2015,FIRST,PI 10(SSP),G2-3R,3,____,6,1.0000,
0180-64003,2015,FIRST,ECON 10(SSP),B,3,____,7,1.0000,
2476-75811,2015,FIRST,CHEM 15.0,X,3,____,1,1.0000,
2476-75811,2015,FIRST,AECO 199,Y4,1,____,3,1.0000,
0868-51696,2015,FIRST,ECON 115,F,3,____,2,1.0000,
9921-95307,2015,FIRST,ECON 101,T-6R,3,____,1,1.0000,
3357-72881,2015,FIRST,AECO 199,Y4,1,____,1,1.0000,
9407-93925,2015,FIRST,ENG 10,T-6R,3,____,1,1.0000,
9407-93925,2015,FIRST,PSY 1(SSP),C-5R,3,____,2,1.0000,
4331-02207,2015,FIRST,EE 141,V-2L,3,____,2,1.0000,
4086-39411,2015,FIRST,ENG 106,U,3,____,2,1.0000,
6658-62266,2015,FIRST,PE 2-BT,BT-W,0,____,1,1.0000,
6658-62266,2015,FIRST,PE 2-WF,WF-ST1,0,____,2,1.0000,
6658-62266,2015,FIRST,SPCM 1(AH),Y-5R,3,____,3,1.0000,
6658-62266,2015,FIRST,DEVC 199,A2,1,____,4,1.0000,
1709-43730,2015,FIRST,FRCH 10,T,3,____,1,1.0000,
1709-43730,2015,FIRST,MGT 131,F,3,____,2,1.0000,
9728-43039,2015,FIRST,ECON 10(SSP),T,3,____,1,1.0000,
5342-44142,2015,FIRST,ENG 10,T-6R,3,____,1,1.0000,
5342-44142,2015,FIRST,SOSC 4(SSP),C-4R,3,____,2,1.0000,
2686-78818,2015,FIRST,FRM 94,Y-3L,3,____,2,1.0000,
3968-87772,2015,FIRST,PE 2-FSO,FSO-YZ,0,____,1,1.0000,
3968-87772,2015,FIRST,AECO 199,Y3,1,____,3,1.0000,
3968-87772,2015,FIRST,NASC 3(MST),UV-6R,3,____,4,1.0000,
9242-27791,2015,FIRST,ABT 106,B1-3L,3,____,1,1.0000,
0751-51995,2015,FIRST,POSC 10,D,3,____,1,1.0000,
4537-82362,2015,FIRST,ENSC 16,Y,3,____,1,1.0000,
4537-82362,2015,FIRST,PSY 1(SSP),C-5R,3,____,2,1.0000,
4537-82362,2015,FIRST,ENG 10,T-6R,3,____,3,1.0000,
2545-02539,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
3517-23673,2015,FIRST,AECO 199,Y3,1,____,2,1.0000,
5507-82760,2015,FIRST,MATH 28,T-5R,3,____,1,1.0000,
5507-82760,2015,FIRST,CMSC 142,C-3L,3,____,2,1.0000,
4687-97731,2015,FIRST,ECON 10(SSP),T,3,____,1,1.0000,
7526-92405,2015,FIRST,ECON 130,X,3,____,1,1.0000,
7526-92405,2015,FIRST,AECO 199,Y3,1,____,3,1.0000,
6210-51321,2015,FIRST,ENG 103,D,3,____,1,1.0000,
1922-89246,2015,FIRST,SOSC 3(SSP),Y-3R,3,____,1,1.0000,
3841-83819,2015,FIRST,ENSC 16,Y,3,____,1,1.0000,
3841-83819,2015,FIRST,ENSC 10b,8L,2,____,2,1.0000,
1928-58407,2015,FIRST,PI 10(SSP),G2-6R,3,____,2,1.0000,
1928-58407,2015,FIRST,DEVC 199,S4,1,____,3,1.0000,
4172-77248,2015,FIRST,STS 1,Y2,3,____,1,1.0000,
6179-17858,2015,FIRST,ENG 10,T-6R,3,____,1,1.0000,
3379-12021,2015,FIRST,SOSC 1(SSP),X-6R,3,____,1,1.0000,
5823-36241,2015,FIRST,AECO 199,Y3,1,____,2,1.0000,
9036-14928,2015,FIRST,HUM 3(AH),F,3,____,2,1.0000,
9036-14928,2015,FIRST,EE 141,V-2L,3,____,3,1.0000,
9036-14928,2015,FIRST,EE 180,D,3,____,5,1.0000,
9036-14928,2015,FIRST,EE 181,YZ-2L,3,____,6,1.0000,
2370-94111,2015,FIRST,FST 102,B-3L,4,____,1,1.0000,
5710-63327,2015,FIRST,HIST 1(SSP),V2-1R,3,____,1,1.0000,
5710-63327,2015,FIRST,AGRI 199,Y5,1,____,2,1.0000,
5710-63327,2015,FIRST,PI 10(SSP),G2-6R,3,____,3,1.0000,
7149-99045,2015,FIRST,STAT 166,EF-2L,3,____,1,1.0000,
7149-99045,2015,FIRST,HFDS 31,T,3,____,2,1.0000,
7149-99045,2015,FIRST,STS 1,Y1,3,____,3,1.0000,
6094-07233,2015,FIRST,BIO 130a,G,3,____,1,1.0000,
9229-69687,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
2655-10223,2015,FIRST,HUME 10(SSP),G-2R,3,____,1,1.0000,
7342-94868,2015,FIRST,FST 115,C,3,____,2,1.0000,
7167-28848,2015,FIRST,POSC 1(SSP),W-5R,3,____,2,1.0000,
4866-71557,2015,FIRST,FST 111,C,3,____,1,1.0000,
4866-71557,2015,FIRST,CHEM 160,X,3,____,2,1.0000,
0850-84706,2015,FIRST,AECO 199,Y3,1,____,2,1.0000,
1292-40400,2015,FIRST,POSC 1(SSP),W-5R,3,____,1,1.0000,
9974-93352,2015,FIRST,WLDL 105,U,3,____,1,1.0000,
9974-93352,2015,FIRST,DEVC 199,S4,1,____,2,1.0000,
1661-60332,2015,FIRST,PE 2-WF,WF-YZ2,0,____,1,1.0000,
1661-60332,2015,FIRST,ChE 200-3,AR(3),3,____,2,1.0000,
8828-52433,2015,FIRST,EE 148,T,3,____,1,1.0000,
1659-83528,2015,FIRST,AECO 199,Y3,1,____,1,1.0000,
4046-16851,2015,FIRST,ABE 174,V-1L,3,____,1,1.0000,
0255-21594,2015,FIRST,DEVC 199,S4,1,____,1,1.0000,
5599-05688,2015,FIRST,ECON 175,T,3,____,1,1.0000,
5599-05688,2015,FIRST,ECON 199b,G1b,1,____,2,1.0000,
4448-53988,2015,FIRST,PE 2-TKD,TKD-Y,0,____,1,1.0000,
8424-99777,2015,FIRST,PE 2-SJ,SJ-WX,0,____,1,1.0000,
1690-19995,2015,FIRST,AECO 104,T-2L,3,____,3,1.0000,
1690-19995,2015,FIRST,AECO 199,Y3,1,____,4,1.0000,
8428-22922,2015,FIRST,AECO 199,Y3,1,____,2,1.0000,
7644-06090,2015,FIRST,MATH 141,W,3,____,1,1.0000,
8270-23984,2015,FIRST,ECON 10(SSP),T,3,____,1,1.0000,
9173-02812,2015,FIRST,HUM 3(AH),W,3,____,2,1.0000,
9173-02812,2015,FIRST,NASC 10(MST),U,3,____,3,1.0000,
5753-09018,2015,FIRST,PI 10(SSP),G1-1R,3,____,1,1.0000,
5753-09018,2015,FIRST,PE 2-SDF,SDF-X,0,____,2,1.0000,
5753-09018,2015,FIRST,MATH 141,W,3,____,3,1.0000,
5753-09018,2015,FIRST,ECON 101,T-1R,3,____,5,1.0000,
4280-26724,2015,FIRST,CHEM 160,X,3,____,1,1.0000,
4565-90129,2015,FIRST,PE 2-FSW,FSW-T,0,____,1,1.0000,
6169-87585,2015,FIRST,NASC 1(MST),V-4R,3,____,1,1.0000,
3171-49167,2015,FIRST,ENG 10,T-6R,3,____,1,1.0000,
9832-23019,2015,FIRST,STS 1,Y1,3,____,1,1.0000,
6810-70388,2015,FIRST,PSY 1(SSP),C-3R,3,____,1,1.0000,
9996-42161,2015,FIRST,MATH 174,B-2L,3,____,2,1.0000,
2927-53381,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
9194-96020,2015,FIRST,CHEM 115,Y,3,____,1,1.0000,
7736-28399,2015,FIRST,ABE 2,C-1L,3,____,1,1.0000,
7736-28399,2015,FIRST,ABM 190,E,3,____,2,1.0000,
7736-28399,2015,FIRST,MGT 181,Y,3,____,3,1.0000,
7736-28399,2015,FIRST,JAP 10,U,3,____,4,1.0000,
3011-68917,2015,FIRST,CHEM 131,AB-1L,4,____,1,1.0000,
3011-68917,2015,FIRST,CHEM 112.1,3L,2,____,2,1.0000,
3011-68917,2015,FIRST,AGRI 121,X,3,____,4,1.0000,
3011-68917,2015,FIRST,HUM 3(AH),C,3,____,5,1.0000,
2673-85077,2015,FIRST,ECON 130,B,3,____,1,1.0000,
2673-85077,2015,FIRST,ABE 2,C-2L,3,____,2,1.0000,
2673-85077,2015,FIRST,AECO 104,T-2L,3,____,4,1.0000,
2673-85077,2015,FIRST,AECO 199,Y3,1,____,5,1.0000,
7428-90625,2015,FIRST,PE 2-SDF,SDF-X,0,____,1,1.0000,
7428-90625,2015,FIRST,FST 167,T-1L,3,____,3,1.0000,
7428-90625,2015,FIRST,HUM 2(AH),B-2R,3,____,4,1.0000,
1667-41556,2015,FIRST,ENG 10,T-6R,3,____,1,1.0000,
0887-61305,2015,FIRST,AECO 199,Y3,1,____,2,1.0000,
0887-61305,2015,FIRST,HIST 2(SSP),T-1R,3,____,3,1.0000,
7337-19257,2015,FIRST,CHEM 140,YZ1-1L,4,____,1,1.0000,
7337-19257,2015,FIRST,CHEM 120.1,3L,2,____,3,1.0000,
5909-71440,2015,FIRST,ECON 10(SSP),T,3,____,1,1.0000,
5909-71440,2015,FIRST,ENG 10,C-6R,3,____,2,1.0000,
0827-28704,2015,FIRST,APHY 105,Y-1L,3,____,1,1.0000,
0827-28704,2015,FIRST,APHY 200-3,AR1(3),3,____,2,1.0000,
3063-30216,2015,FIRST,MATH 28,T-5R,3,____,1,1.0000,
3651-11639,2015,FIRST,CMSC 137,CD-4L,3,____,1,1.0000,
8759-49067,2015,FIRST,NASC 4(MST),V,3,____,1,1.0000,
9257-53639,2015,FIRST,HNF 198,AR5,12,____,1,1.0000,
7923-33714,2015,FIRST,AECO 199,Y3,1,____,2,1.0000,
7923-33714,2015,FIRST,HIST 1(SSP),V2-1R,3,____,3,1.0000,
0298-27340,2015,FIRST,AECO 199,Y3,1,____,1,1.0000,
9596-88246,2015,FIRST,AECO 199,Y3,1,____,1,1.0000,
6696-97803,2015,FIRST,AECO 199,Y3,1,____,2,1.0000,
5511-45528,2015,FIRST,ENSC 13,X,3,____,1,1.0000,
5511-45528,2015,FIRST,HUME 10(SSP),G-2R,3,____,2,1.0000,
2801-52114,2015,FIRST,STAT 146,UV-3R,3,____,1,1.0000,
9512-81150,2015,FIRST,AECO 199,Y3,1,____,3,1.0000,
9512-81150,2015,FIRST,STS 10(MST),B,3,____,4,1.0000,
5323-84266,2015,FIRST,ECON 130,X,3,____,3,1.0000,
5323-84266,2015,FIRST,AECO 123,U-2R,3,____,4,1.0000,
5323-84266,2015,FIRST,AECO 199,Y2,1,____,7,1.0000,
4361-85947,2015,FIRST,ENG 10,T-6R,3,____,2,1.0000,
4361-85947,2015,FIRST,SOSC 3(SSP),D-1R,3,____,3,1.0000,
4361-85947,2015,FIRST,ChE 200-3,AR(3),3,____,4,1.0000,
4361-85947,2015,FIRST,HUME 10(SSP),G-2R,3,____,5,1.0000,
1943-28034,2015,FIRST,AECO 199,Y2,1,____,1,1.0000,
2525-44380,2015,FIRST,AECO 199,Y2,1,____,2,1.0000,
9832-92142,2015,FIRST,EE 141,V-2L,3,____,2,1.0000,
0758-93226,2015,FIRST,ECON 130,X,3,____,1,1.0000,
0758-93226,2015,FIRST,AECO 199,Y2,1,____,4,1.0000,
1532-53091,2015,FIRST,ENSC 16,Y,3,____,2,1.0000,
1532-53091,2015,FIRST,IT 1(MST),G-6L,3,____,4,1.0000,
9873-92297,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
9171-68830,2015,FIRST,AECO 199,Y2,1,____,2,1.0000,
9272-61754,2015,FIRST,AECO 199,Y2,1,____,1,1.0000,
9972-97136,2015,FIRST,ChE 200-3,AR(3),3,____,1,1.0000,
0007-36500,2015,FIRST,CE 135,CD-1C,3,____,1,1.0000,
0007-36500,2015,FIRST,CE 141,S-2C,3,____,2,1.0000,
0007-36500,2015,FIRST,CE 171,W,3,____,3,1.0000,
0007-36500,2015,FIRST,ENG 10,B-6R,3,____,4,1.0000,
0007-36500,2015,FIRST,CE 199,G,1,____,6,1.0000,
0007-36500,2015,FIRST,ABE 174,V-1L,3,____,7,1.0000,
2525-60152,2015,FIRST,CMSC 142,C-3L,3,____,1,1.0000,
2145-10225,2015,FIRST,HNF 198,AR5,12,____,2,1.0000,
9956-33279,2015,FIRST,PE 2-TKD,TKD-Y,0,____,1,1.0000,
8752-28665,2015,FIRST,PE 2-SJ,SJ-WX,0,____,1,1.0000,
8752-28665,2015,FIRST,PSY 1(SSP),U-1R,3,____,2,1.0000,
8752-28665,2015,FIRST,STS 1,Y2,3,____,3,1.0000,
8752-28665,2015,FIRST,PI 10(SSP),H-6R,3,____,4,1.0000,
8752-28665,2015,FIRST,IT 1(MST),G-3L,3,____,6,1.0000,
8752-28665,2015,FIRST,IE 191,Z,3,____,7,1.0000,
1292-34282,2015,FIRST,ECON 130,X,3,____,1,1.0000,
1292-34282,2015,FIRST,ECON 106,U,3,____,2,1.0000,
1292-34282,2015,FIRST,ECON 171,F,3,____,3,1.0000,
2701-53818,2015,FIRST,MATH 26,W-5R,3,____,1,1.0000,
0056-15094,2015,FIRST,PHYS 151,G,3,____,1,1.0000,
